time 	 pi1 	 pi2 	 pi3 	 pi4 	 hive 
0.2 	 -31.498669 	 -29.027330 	 -18.784476 	 -28.739862 	 -18.784476
0.3 	 -29.042332 	 -29.072413 	 -18.224478 	 -28.827305 	 -18.224478
0.4 	 -29.072413 	 -28.596053 	 -18.550292 	 -28.768912 	 -18.550292
0.5 	 -28.603187 	 -28.893469 	 -18.181371 	 -29.064883 	 -18.181371
0.6 	 -28.864001 	 -28.761641 	 -18.379256 	 -28.447573 	 -18.379256
0.7 	 -28.790763 	 -28.660473 	 -18.394666 	 -28.960142 	 -18.394666
0.8 	 -28.689258 	 -28.945281 	 -18.155610 	 -28.588925 	 -18.155610
0.9 	 -28.923038 	 -28.503838 	 -18.807552 	 -28.660473 	 -18.807552
1.0 	 -28.496785 	 -28.975028 	 -18.159898 	 -29.095042 	 -18.159898
1.1 	 -28.960142 	 -28.841965 	 -18.472130 	 -28.638946 	 -18.472130
1.2 	 -28.827305 	 -28.503838 	 -18.405690 	 -28.878723 	 -18.405690
1.3 	 -28.510896 	 -29.163286 	 -18.168481 	 -28.667660 	 -18.168481
1.4 	 -29.155677 	 -28.475660 	 -18.572753 	 -28.790763 	 -18.572753
1.5 	 -28.482696 	 -28.975028 	 -18.162043 	 -28.849304 	 -18.162043
1.6 	 -28.937861 	 -28.617473 	 -18.557024 	 -28.624625 	 -18.557024
1.7 	 -28.603187 	 -28.834632 	 -18.170628 	 -29.079949 	 -18.170628
1.8 	 -28.812670 	 -28.732615 	 -18.523414 	 -28.370798 	 -18.523414
1.9 	 -28.732615 	 -28.841965 	 -18.434419 	 -29.386903 	 -18.434419
2.0 	 -28.819984 	 -29.064883 	 -17.958508 	 -28.567575 	 -17.958508
2.1 	 -29.049842 	 -28.274057 	 -18.870166 	 -28.539189 	 -18.870166
2.2 	 -28.274057 	 -29.270520 	 -18.230962 	 -28.834632 	 -18.230962
2.3 	 -29.278231 	 -28.603187 	 -18.434419 	 -28.674853 	 -18.434419
2.4 	 -28.596053 	 -28.624625 	 -18.200743 	 -29.095042 	 -18.200743
2.5 	 -28.617473 	 -28.841965 	 -18.333189 	 -28.405612 	 -18.333189
2.6 	 -28.849304 	 -28.689258 	 -18.858537 	 -29.087492 	 -18.858537
2.7 	 -28.689258 	 -28.967582 	 -17.962700 	 -28.696469 	 -17.962700
2.8 	 -28.967582 	 -28.560470 	 -18.807552 	 -28.517961 	 -18.807552
2.9 	 -28.517961 	 -29.042332 	 -18.228800 	 -29.239747 	 -18.228800
3.0 	 -29.042332 	 -28.864001 	 -18.263457 	 -28.696469 	 -18.263457
3.1 	 -28.864001 	 -28.419576 	 -18.575003 	 -28.776190 	 -18.575003
3.2 	 -28.412591 	 -29.301404 	 -18.187824 	 -28.653291 	 -18.187824
3.3 	 -29.316886 	 -28.517961 	 -18.563762 	 -28.689258 	 -18.563762
3.4 	 -28.532107 	 -28.667660 	 -18.226639 	 -29.027330 	 -18.226639
3.5 	 -28.674853 	 -29.004876 	 -18.414520 	 -28.525031 	 -18.414520
3.6 	 -29.012354 	 -28.754375 	 -18.763760 	 -29.079949 	 -18.763760
3.7 	 -28.747116 	 -29.004876 	 -17.904195 	 -28.923038 	 -17.904195
3.8 	 -29.012354 	 -28.377750 	 -18.805242 	 -28.349977 	 -18.805242
3.9 	 -28.356912 	 -28.997404 	 -18.346326 	 -29.186153 	 -18.346326
4.0 	 -29.019839 	 -28.923038 	 -18.091539 	 -28.761641 	 -18.091539
4.1 	 -28.908241 	 -28.461605 	 -18.720187 	 -28.841965 	 -18.720187
4.2 	 -28.440565 	 -29.186153 	 -18.265628 	 -28.754375 	 -18.265628
4.3 	 -29.170902 	 -28.718139 	 -18.672280 	 -28.696469 	 -18.672280
4.4 	 -28.682053 	 -28.886093 	 -18.070286 	 -29.132889 	 -18.070286
4.5 	 -28.886093 	 -28.610327 	 -18.494391 	 -28.405612 	 -18.494391
4.6 	 -28.624625 	 -28.747116 	 -18.311337 	 -29.186153 	 -18.311337
4.7 	 -28.747116 	 -28.989939 	 -18.106446 	 -28.546277 	 -18.106446
4.8 	 -28.989939 	 -28.468629 	 -18.921521 	 -28.610327 	 -18.921521
4.9 	 -28.475660 	 -29.170902 	 -18.089411 	 -29.072413 	 -18.089411
5.0 	 -29.178524 	 -28.489737 	 -18.527888 	 -28.560470 	 -18.527888
5.1 	 -28.489737 	 -28.768912 	 -18.276489 	 -29.079949 	 -18.276489
5.2 	 -28.768912 	 -28.923038 	 -18.274316 	 -28.482696 	 -18.274316
5.3 	 -28.923038 	 -28.567575 	 -18.722475 	 -28.856649 	 -18.722475
5.4 	 -28.539189 	 -29.125306 	 -18.159898 	 -28.812670 	 -18.159898
5.5 	 -29.140478 	 -18.860861 	 -28.574685 	 -29.117730 	 -18.860861
